Hisse,Sektör,CAPM Alfası (Sabit),CAPM Betası (Eğim),R-squared (R2)
THYAO,Ulaştırma,0.067418,1.0853,0.5552
PGSUS,Ulaştırma,0.017195,1.0477,0.4697
AKBNK,Bankacılık,0.035458,1.1861,0.5007
GARAN,Bankacılık,0.071175,1.027,0.4189
EREGL,Sanayi,-0.04032,1.0139,0.5018
KRDMD,Sanayi,-0.051352,1.204,0.4903
ASELS,Savunma,0.146205,1.0409,0.3975
OTKAR,Savunma,0.021077,0.8278,0.3081
BIMAS,Perakende,0.061492,0.8598,0.4109
MGROS,Perakende,0.103461,0.8504,0.3799
TUPRS,Enerji,0.107831,0.9222,0.4095
ENJSA,Enerji,0.048125,0.9331,0.4222
