Ticker,XU100,THYAO,PGSUS,AKBNK,GARAN,EREGL,KRDMD,ASELS,OTKAR,BIMAS,MGROS,TUPRS,ENJSA
XU100,1.0,0.7450839872086927,0.6853146013980387,0.7076040111265463,0.6472333045106983,0.7083820438150255,0.700219590693043,0.630456126323244,0.55506667082845,0.6409896816968067,0.616328393278234,0.6399074050840076,0.6497869772593053
THYAO,0.7450839872086927,1.0,0.7893773248203331,0.4624760373987223,0.42409166642720286,0.5306124344832693,0.5272053690116112,0.4661801721894996,0.39982539788802607,0.4658314498874663,0.4678221077025509,0.5067066269776891,0.47752496924020044
PGSUS,0.6853146013980387,0.7893773248203331,1.0,0.42882868016274994,0.39569107822089256,0.4508464911270656,0.46205388832971955,0.4325066325119833,0.39299642070275126,0.4316244827203714,0.46744533267128435,0.4263888439130584,0.4624292664260242
AKBNK,0.7076040111265463,0.4624760373987223,0.42882868016274994,1.0,0.8400908179080944,0.4101833100760246,0.4232420291604103,0.36959986871187317,0.3312126458857768,0.4355305313797112,0.3677110814150575,0.3451168839147183,0.4303553380290182
GARAN,0.6472333045106983,0.42409166642720286,0.39569107822089256,0.8400908179080944,1.0,0.37953400296082146,0.3991378726165315,0.33033337386622774,0.3160164080026156,0.4295916799924739,0.361264254407231,0.3271309225748805,0.3865303147311043
EREGL,0.7083820438150255,0.5306124344832693,0.4508464911270656,0.4101833100760246,0.37953400296082146,1.0,0.7690533688355433,0.47137591739298157,0.38259617701799986,0.4162772832243543,0.40686670143646303,0.4922863703159283,0.47789550999783625
KRDMD,0.700219590693043,0.5272053690116112,0.46205388832971955,0.4232420291604103,0.3991378726165315,0.7690533688355433,1.0,0.47847936344445663,0.40383170998220047,0.4182106193918705,0.44530069085744745,0.4944793734419318,0.4937834287199007
ASELS,0.630456126323244,0.4661801721894996,0.4325066325119833,0.36959986871187317,0.33033337386622774,0.47137591739298157,0.47847936344445663,1.0,0.3987467282455018,0.34906349185284674,0.3717837026584958,0.45806026058571575,0.43441886352078507
OTKAR,0.55506667082845,0.39982539788802607,0.39299642070275126,0.3312126458857768,0.3160164080026156,0.38259617701799986,0.40383170998220047,0.3987467282455018,1.0,0.3858407241882979,0.3820960977799964,0.34712259523356326,0.42723693235474186
BIMAS,0.6409896816968067,0.4658314498874663,0.4316244827203714,0.4355305313797112,0.4295916799924739,0.4162772832243543,0.4182106193918705,0.34906349185284674,0.3858407241882979,1.0,0.6362561950672679,0.38650128941996353,0.39768283948720495
MGROS,0.616328393278234,0.4678221077025509,0.46744533267128435,0.3677110814150575,0.361264254407231,0.40686670143646303,0.44530069085744745,0.3717837026584958,0.3820960977799964,0.6362561950672679,1.0,0.36678228923862255,0.4408425456887342
TUPRS,0.6399074050840076,0.5067066269776891,0.4263888439130584,0.3451168839147183,0.3271309225748805,0.4922863703159283,0.4944793734419318,0.45806026058571575,0.34712259523356326,0.38650128941996353,0.36678228923862255,1.0,0.44244289462768305
ENJSA,0.6497869772593053,0.47752496924020044,0.4624292664260242,0.4303553380290182,0.3865303147311043,0.47789550999783625,0.4937834287199007,0.43441886352078507,0.42723693235474186,0.39768283948720495,0.4408425456887342,0.44244289462768305,1.0
