Ticker,Gözlem Sayısı,Ortalama Getiri (%),Standart Sapma (%),Minimum Getiri (%),25% Çeyreklik (%),Medyan Getiri (%),75% Çeyreklik (%),Maksimum Getiri (%),Çarpıklık (Skewness),Basıklık (Kurtosis),Oynaklık (Volatilite) (%)
KRDMD,1251.0,0.19284351062041818,3.0900624844089934,-9.98293331787805,-1.6782717513738221,0.0,1.8722457567075246,22.05163953160081,0.49538841869517686,3.0119963941038614,3.0900624844089934
AKBNK,1251.0,0.2760246723963081,3.012367205913432,-9.994282806117717,-1.4079241944678245,0.14006139790525562,1.7424275779335918,18.02920954201688,0.34698123467081715,2.6108450094913733,3.012367205913432
ASELS,1251.0,0.3573296862359859,2.9672071943410296,-9.99999908287348,-1.466161711903874,0.16652789342215257,1.9119136838842699,22.01257639262939,0.43205523491567066,3.06774786356201,2.9672071943410296
GARAN,1251.0,0.2794781383529838,2.8516640069783525,-9.992491061439912,-1.2965658913104916,0.06675523692780683,1.645369873028113,17.742746175329938,0.47490966769659504,2.8264231434815423,2.8516640069783525
PGSUS,1251.0,0.22968735510074126,2.747373447381133,-10.00000435624122,-1.3389350400271893,0.08410300490981903,1.616746113439782,20.17628003417693,0.5237235383065093,3.6130049922045906,2.747373447381133
OTKAR,1251.0,0.18897104725938169,2.680110276971998,-9.999999999999998,-1.3688377685553366,0.07999745703448635,1.4903047361378263,15.890090256941436,0.31568281947215004,2.662427852454668,2.680110276971998
THYAO,1251.0,0.2875329479077553,2.6176237975150207,-9.981927635936705,-1.2556533590295182,0.08083432498993126,1.5804531660196242,21.652167706439627,0.7255930448147108,5.263339013075066,2.6176237975150207
TUPRS,1251.0,0.29487245103079773,2.5899035285554226,-9.981950338797862,-1.1784697111240194,0.060983411403747745,1.6561051216347655,17.928192213351156,0.5055182300461211,3.457592157288813,2.5899035285554226
ENJSA,1251.0,0.23737628515136053,2.5806590504349693,-10.000007451498183,-1.2525186635801822,0.14084316962568177,1.6537914096443562,22.169813446525243,0.45869628039472055,5.538234029829154,2.5806590504349693
EREGL,1251.0,0.1653301256801172,2.5723234802314385,-9.97877275582566,-1.234483981341411,0.0,1.498448909304384,15.937141345062233,0.40162056042923305,3.1954936632342017,2.5723234802314385
MGROS,1251.0,0.275933608034484,2.479536933617113,-10.00000819481367,-1.1041904301624605,0.15423979702999802,1.537333510096739,15.339492581220092,0.23347574809842445,2.7456049804319402,2.479536933617113
BIMAS,1251.0,0.23588694133135651,2.410724538051118,-9.983071770407449,-1.1307605371428664,0.14254696365390007,1.605313298622535,12.531979598149556,0.13020838870416626,2.2476781305947844,2.410724538051118
XU100,1251.0,0.20282185238326278,1.7971251980321732,-8.719524862779505,-0.7554017550954528,0.16756878713060086,1.2131445759656967,9.881697944196288,-0.35138651883346844,3.8832880172654534,1.7971251980321732
